,0
125,ไม่ว่าเธอจะคบกับใคร
126,ในวันที่โลกทำเธอหนักใจ
127,ไม่ว่าจะรู้สึกแย่แค่ไหน
128,ให้เพลงของฉันได้พาเธอหลับไป
129,
130,ในวันที่ความรักสองเรา นั้นไปต่อไม่ไหว
131,ในวันที่ใจของเธอ เปลี่ยนผันไป ไม่เหมือนก่อน
132,เราคงมาไกลได้เท่านี้
133,หากฉันไม่ได้อยู่ดูแลเหมือนวันก่อน
134,ช่วยบอกได้ไหมว่าจะเข้มแข็ง
135,หากฉันไม่ได้อยู่ข้างเธอดั่งวันวาน
136,อยากจะขอให้เธอได้เจอ แต่คนที่แสนดี
137,อย่าได้ไปเจอ ใครที่ทำร้ายหัวใจ
138,ขอให้โลกใบนี้ใจดีกับเธอ
139,ในวันที่ไม่มีฉันอยู่
140,ขอให้โลกใบนี้ไม่ทำร้ายเธอ
141,ในวันที่ไม่มีฉันอยู่
142,จริง ๆ ตอนนั้นก็ดี
143,จริง ๆ ใจฉันไม่อยากเสียเธอไป
144,แต่กาลเวลาใจร้ายเหลือเกิน
145,ที่นำพาเธอให้ไกลจากฉัน
146,โอ้ กาลเวลาใจร้ายเหลือเกิน
147,ที่ทำให้ใจของเธอ เปลี่ยนไป
148,อยากจะขอให้เธอได้เจอ แต่คนที่แสนดี
149,อย่าได้ไปเจอใคร ที่ทำร้ายหัวใจ (โน)
150,อยากจะขอให้เธอได้เจอ แต่คนที่แสนดี
151,อย่าได้ไปเจอ ใครที่ทำร้ายหัวใจ (ฮู้)
152,ขอให้โลกใบนี้ใจดีกับเธอ
153,ในวันที่ไม่มีฉันอยู่
154,ขอให้โลกใบนี้ไม่ทำร้ายเธอ
155,ในวันที่ไม่มีฉันอยู่
156,
157,จะกลับไปดีกับเขา ก็แค่บอก
158,รู้ตัวตลอด อีกเดี๋ยวก็คงต้องไป
159,อีกครั้งที่ได้เป็นที่ปรึกษา
160,เวลาที่เธอทะเลาะกับเขา
161,คราวนี้เขาไปมองใครหรือเปล่า
162,หรือมีอะไรที่คิดมากไป
163,ก็ฉันเป็นคนคอยถาม
164,จนมันจำเรื่องของเธอกับเขา
165,ได้จนขึ้นใจ
166,แต่เธออยากเล่าอะไรอีกไหม
167,คอยอยู่ข้างเธอ
168,ในวันที่เขาทำตัวไม่ดี
169,แล้วเธอก็กลับไปทุกที
170,คราวนี้คงไม่ต่างกัน
171,จะกลับไปดีกับเขา ก็แค่บอก
172,รู้ตัวตลอด อีกเดี๋ยวก็คงต้องไป
173,คนอย่างเราทำได้ แค่คอยปลอบ
174,รับฟังตลอด อย่าไปเผลอคิดไกล
175,เป็นคนสำคัญ เมื่อเธอไม่มีเขา
176,แค่เพียงชั่วคราว เมื่อเธอเศร้าใจ
177,เธอดีกับเขาเมื่อไหร่
178,ฉันก็ต้องไปอยู่ดี
179,กี่ครั้งที่เขาทำตัวใจร้าย
180,แต่เธอคงให้อภัยใช่ไหม
181,ต่อให้ต้องเสียน้ำตาเท่าไหร่
182,แต่เดี๋ยวเธอก็กลับไป
183,คอยอยู่ข้างเธอ
184,ในวันที่เขาทำตัวไม่ดี
185,แล้วเธอก็กลับไปทุกที
186,คราวนี้คงไม่ต่างกัน
187,จะกลับไปดีกับเขา ก็แค่บอก
188,รู้ตัวตลอด อีกเดี๋ยวก็คงต้องไป
189,คนอย่างเราทำได้ แค่คอยปลอบ
190,รับฟังตลอด อย่าไปเผลอคิดไกล
191,เป็นคนสำคัญ เมื่อเธอไม่มีเขา
192,แค่เพียงชั่วคราว เมื่อเธอเศร้าใจ
193,เธอดีกับเขาเมื่อไหร่
194,ฉันก็ต้องไปอยู่ดี
195,จะกลับไปดีกับเขา ก็แค่บอก
196,รู้ตัวตลอด อีกเดี๋ยวก็คงต้องไป (ก็แค่บอกกันมา)
197,คนอย่างเราทำได้ แค่คอยปลอบ
198,รับฟังตลอด อย่าไปเผลอคิดไกล
199,เป็นคนสำคัญ เมื่อเธอไม่มีเขา
200,แค่เพียงชั่วคราว เมื่อเธอเศร้าใจ
201,เธอดีกับเขาเมื่อไหร่
202,ฉันก็ต้องไปอยู่ดี
203,เธอดีกับเขาเมื่อไหร่
204,ฉันก็ต้องไป
205,
206,เราเคยเป็นคู่รักคู่หนึ่ง
207,ที่รักกันเป็นธรรมดา
208,มีเวลาให้กัน รักกันมากทุกวันและมีความสุขดี
209,แต่อยู่ดีดีมีคนคนหนึ่ง
210,ที่ไม่มีความธรรมดา
211,ฉันเห็นเธอนั้นแอบส่งสายตา
212,แบบที่เธอทำกับฉันวันนั้น
213,วันที่ฉันและเธอพบกัน
214,มันเป็นความทรงจำที่ดี
215,แต่ทำไมวันนี้เธอกลับมาทิ้งฉันไปอยู่กับเขา
216,หากเธอมาขอให้ฉันยินดีกับเธอ คงไม่มีทาง
217,เพราะวันนี้เธอไม่ต้องการฉันอีกแล้ว
218,ฉันจะไม่ยินดีกับรักครั้งนี้ของเธอกับเขา
219,มันทำให้ฉันต้องเหงาและทำให้ฉันต้องมีน้ำตา
220,แต่ฉันจะไม่อ่อนแอ ไอคนขี้แพ้ต้องไม่ใช่ฉัน
221,ฉันจะพยายามไม่เอาความหลังมาฝังหัวใจ
222,ให้เจ็บปวด
223,ช่างน่าตลกดีที่ตีห้าตีหก
224,ฉันยังประกบและประกอบ
225,คำสบถให้มันออกมาเป็นเพลงที่สะกด
226,จดลงไปในกระดาษขณะที่ใจฉันมืดลง
227,แต่กลับเป็นเธอที่สว่าง
228,บนความรู้สึกที่ลำบากใจ
229,จนฉันนั้นอยากตาย
230,ฉันจะได้ยินอีกไหมกับคำที่บอกว่าอย่าไป
231,ไม่อยากให้ห่างไกลกัน
232,จนวันที่จากกันไป
233,ไคำสุดท้ายที่เธอบอกฉันคือเราต้องอาจไกลกัน
234,แม้วันเวลาจะผันเปลี่ยน
235,จากตอนนั้นไม่รู้ว่าเป็นไง
236,แต่คนที่ฉันเกลียด ไม่ต้องบอกก็รู้ว่าเป็นใคร
237,ก็คงเป็นคนที่ไปจากฉันและลาไปแบบคาใจ
238,และฉันต้องปล่อยให้ความรู้สึกของฉันมันชินและชาไป
239,ไม่ต้องร้องไห้อีก
240,จะทำยังไงก็ได้ให้มันไม่คิดถึงเธอ
241,และเธอก็คงได้ยินว่าบาร์ก่อนหน้ามันไม่สัมผัส
242,ก็เหมือนกับความรู้สึกของฉันที่เธอมองว่ามันไม่สำคัญ
243,ฉันจะไม่ยินดีกับรักครั้งนี้ของเธอกับเขา
244,มันทำให้ฉันต้องเหงาและทำให้ฉันต้องมีน้ำตา
245,แต่ฉันจะไม่อ่อนแอ ไอคนขี้แพ้ต้องไม่ใช่ฉัน
246,ฉันจะพยายามไม่เอาความหลังมาฝังหัวใจ
247,ให้เจ็บปวด
248,บาดแผลที่เธอได้ฝากไว้
249,มันทำให้ฉันอ่อนแอและไร้เรี่ยวแรง
250,แต่ฉันต้องฝืนและทนเอาไว้
251,แค่ข้ามคืนที่มันโหดร้าย
252,และฉันจะพยายามให้เธอหายไปในความทรงจำ
253,ฉันจะไม่ยินดีกับรักครั้งนี้ของเธอกับเขา
254,มันทำให้ฉันต้องเหงาและทำให้ฉันต้องมีน้ำตา
255,แต่ฉันจะไม่อ่อนแอ ไอคนขี้แพ้ต้องไม่ใช่ฉัน
256,ฉันจะพยายามไม่เอาความหลังมาฝังหัวใจ
257,ให้เจ็บปวด
258,
259,ไม่ต้องกลัวซ้ำกับใคร (ฉันไม่เหมือนใคร)
260,และไม่ได้เหมือนเขาแน่นอน
261,ได้ข่าวว่าเขาอ่ะดี เธอต้องดูฉันก่อน
262,ให้เธอจอง ให้เธอได้เป็นที่หนึ่ง
263,ฉันรู้ว่าเธอไม่รู้ว่าใครที่คู่ควร
264,ก็เพราะว่าใจเธอมีแต่เขานี่หน่า
265,แต่ถ้าเธอได้ลองคิด
266,แล้วเธอจะเห็นบางคนที่ใจเธอตามหา
267,เขารักเธอเท่าไร ฉันรักเธอมากกว่า
268,เขาให้เท่าไร (ให้เท่าไหร่)
269,จะให้มากกว่านั้น
270,อยากจะท้า มีใครให้มากกว่าฉัน
271,วัดกันเลยฉันคงไม่แพ้
272,เธออยู่กับเขาก็ดี แต่อยู่กับฉันจะดีกว่า
273,ถ้าอยากจะรู้จักกันขอสักวันได้เปล่า
274,นัดมาเหอะ เธอจะลืมเค้าแน่นอน
275,ฉันรู้ว่าเธอไม่รู้ว่าใครที่คู่ควร
276,ก็เพราะว่าใจเธอมีแต่เขานี่หน่า
277,แต่ถ้าเธอลองได้คิด
278,แล้วเธอจะเห็นบางคนที่ใจเธอตามหา
279,เขารักเธอเท่าไร ฉันรักเธอมากกว่า
280,เขาให้เท่าไร
281,จะให้มากกว่านั้น
282,อยากจะท้า มีใครให้มากกว่าฉัน
283,วัดกันเลยฉันคงไม่แพ้
284,อยากให้ลองมาวัดกันดู สักวันเธอจะได้รู้
285,คนที่เธอมองข้ามอย่างฉัน มันไม่ยอม
286,รักเธอมากกว่าเขาอีก แค่เธอลอง
287,ขอแค่ให้ได้รัก แค่ได้รักกับเธอ
288,เขารักเธอเท่าไร ฉันรักเธอมากกว่า
289,เขาให้เท่าไร (ให้เท่าไหร่)
290,จะให้มากกว่านั้น
291,อยากจะท้า มีใครให้มากกว่าฉัน
292,วัดกันเลยฉันคงไม่แพ้
293,ขอแค่เธอได้ลองคิด เปิดใจให้ออกมา
294,วัดกันเลยฉันคงไม่แพ้
295,ขอแค่เธอได้ลองคิด เปิดใจให้ออกมา
296,วัดกันเลยฉันคงไม่แพ้ใคร
297,
298,โลกหมุนไป โดยที่เราไม่รู้ตัว
299,สิ่งรอบ ๆ ตัวก็ยังเปลี่ยนได้ทุกนาที
300,บางทีความรักของเรา
301,ก็เดาอะไร ไม่ได้ดังใจ
302,จะผิดจะพลั้งต้องลองกันไป
303,บนหนทาง มีอะไรที่แน่นอน
304,ที่เคยคบวันก่อน เลิกกันง่าย ๆ ก็มี
305,บางทีชีวิตคนเรา
306,อาจเจอเส้นทาง ให้เดินเป็นร้อยเป็นพัน
307,ต่างคิดต่างฝัน
308,ฉันก็แค่รู้ ว่ามีแต่เธอ ที่อยู่ในใจ
309,ฉันก็แค่รู้ ว่าเธอคนเดียว ที่มีความหมาย
310,ไม่จำเป็นต้องรู้ สุดท้ายเป็นไง
311,รู้แค่พรุ่งนี้ จะเป็นเมื่อวาน เมื่อผ่านเวลา
312,รู้แค่ไม่ต้องสัญญา อะไรให้กันวันนี้
313,มีกันและกัน ไม่ว่าจะร้ายดี
314,เพียงแต่เราต่างคนไม่ปล่อยมือ
315,ออกก้าวไป ตามที่ใจเราต้องการ
316,อาจมีที่ไกลห่างแยกเดินกันคนละทาง
317,แค่เพียงลึก ๆ ในใจ
318,จะยังจดจำเรื่องราวที่สองเรามี
319,เก็บไว้อย่างดี
320,ฉันก็แค่รู้ ว่ามีแต่เธอ ที่อยู่ในใจ
321,ฉันก็แค่รู้ ว่าเธอคนเดียว ที่มีความหมาย
322,ไม่จำเป็นต้องรู้ สุดท้ายเป็นไง
323,รู้แค่พรุ่งนี้ จะเป็นเมื่อวาน เมื่อผ่านเวลา
324,รู้แค่ไม่ต้องสัญญา อะไรให้กันวันนี้
325,มีกันและกัน ไม่ว่าจะร้ายดี
326,จะพบหรือเจออะไร
327,เพียงแต่เราต่างคนไม่ปล่อยมือ
328,บางครั้งเรา ก็ห่างกันไกล
329,แหละบางครั้งเรา ก็ต่างทางเดิน
330,แต่สิ่งที่สำคัญ มันคือความในใจ ที่จะไม่เปลี่ยนไป
331,บางครั้งเรา ก็ห่างกันไกล
332,แหละบางครั้งเรา ก็ต่างทางเดิน
333,แต่สิ่งที่สำคัญ มันคือความในใจ ที่จะไม่เปลี่ยนไป
334,ฉันก็แค่รู้ ว่ามีแต่เธอ ที่อยู่ในใจ
335,ฉันก็แค่รู้ ว่าเธอคนเดียว ที่มีความหมาย
336,ไม่จำเป็นต้องรู้ สุดท้ายเป็นไง
337,รู้แค่พรุ่งนี้ จะเป็นเมื่อวาน เมื่อผ่านเวลา
338,รู้แค่ไม่ต้องสัญญา อะไรให้กันวันนี้
339,มีกันและกัน ไม่ว่าจะร้ายดี
340,จะพบหรือเจออะไร
341,เพียงแต่เราต่างคนไม่ปล่อยมือ
342,
343,แพ้ให้เธอทุกที
344,ไปน่ารักตรงนั้นไปไกล ๆ ขอที
345,ต้านทานเธอแทบไม่ไหว
346,ดูเหมือนเธอจะมีวิชา
347,ดูดิ ทำเอาชั้นเป็นแผลรักเกอ
348,เห็นเธอยิ้มอยู่แค่ในจอ มันก็ยังพอไหว
349,พอเดินเข้ามาใกล้ ๆ เท่านั้นแหละชั้นแทบขาดใจ
350,แต่อันที่จริงต้องข่มใจ
351,แพ้ให้เธอทุกที
352,ไปน่ารักตรงนั้นไปไกล ๆ ขอที
353,ต้านทานเธอแทบไม่ไหว
354,ดูเหมือนเธอจะมีวิชา
355,คิดไปไกลสติสตางค์มันหายไปไหน
356,หวงเธอแต่ทำอะไรไม่ได้
357,ใกล้เธอคงดูไม่ดีเท่าไหร่
358,ได้แค่มองเธออย่างนี้ก็ดีแค่ไหน
359,ที่ชอบทำให้ชั้นคิด
360,แพ้ให้เธอทุกที
361,ไปน่ารักตรงนั้นไปไกล ๆ ขอที
362,ต้านทานเธอแทบไม่ไหว
363,ดูเหมือนเธอจะมีวิชา
364,
365,ไม่ชอบจริงจริง
366,ที่เธอมีคนมากมายมาทัก
367,ไม่ชอบเลย
368,เวลามีใครชมว่าเธอน่ารัก
369,ทำเป็นว่าคิดแค่พี่ชาย
370,แค่มองก็รู้ว่าไม่ใช่
371,แต่ว่าตัวฉันแค่เพื่อนเท่านั้น
372,ไม่มีสิทธิ์พูดอะไร
373,ได้อยู่ใกล้เธอเท่าไร
374,สเตตัสของเรา
375,แค่เพื่อนสนิทฉันเข้าใจ
376,ตอนนี้ยังไม่มีสิทธิ์
377,ถ้าจะหึงก็คงจะผิด
378,แอบหวงแค่นี้
379,เธอคงไม่ว่าอะไรใช่ไหม
380,แปะหัวใจเอาไว้
381,เผื่อว่าใครได้เห็น
382,เขาจะได้ไม่คิดไปไกล
383,ก็รู้ไม่ได้เป็นอะไรกัน
384,แค่ไม่ค่อยชอบ
385,เวลาใครมาใกล้เธอ
386,แปะหัวใจเอาไว้
387,แทนคำว่าคิดถึง
388,ความรู้สึกที่มีให้เธอ
389,มันมากเกินไป
390,ยังไม่รู้พรุ่งนี้เป็นไง
391,แต่ที่รู้คือวันนี้จะบอกเธอไว้
392,ว่าคนนี้ฉันจอง
393,รู้ไหมเวลา
394,ที่เธอทำดีกับใคร
395,ไม่ค่อยชอบใจเท่าไรหรอก
396,แต่ฉันก็แค่เพื่อนเธอ
397,ทำได้ก็เพียงแค่มอง
398,แม้ความจริง
399,ไม่ชอบให้เธอใกล้ใคร
400,ไม่ชอบให้ใครใกล้เธอ
401,อยากบอกให้รู้เท่าไหร่
402,แต่คิดในใจแค่นั้นพอ
403,แปะหัวใจเอาไว้
404,เผื่อว่าใครได้เห็น
405,เขาจะได้ไม่คิดไปไกล
406,ก็รู้ไม่ได้เป็นอะไรกัน
407,แค่ไม่ค่อยชอบ
408,เวลาใครมาใกล้เธอ
409,แปะหัวใจเอาไว้
410,แทนคำว่าคิดถึง
411,ความรู้สึกที่มีให้เธอ
412,มันมากเกินไป
413,ยังไม่รู้พรุ่งนี้จะเป็นไง
414,แต่ที่รู้คือวันนี้จะบอกเธอไว้
415,แปะหัวใจเอาไว้
416,เผื่อว่าใครได้เห็น
417,เขาจะได้ไม่คิดไปไกล
418,ก็รู้ไม่ได้เป็นอะไรกัน
419,แค่ไม่ค่อยชอบ
420,เวลาใครมาใกล้เธอ
421,แปะหัวใจเอาไว้
422,แทนคำว่าคิดถึง
423,ความรู้สึกที่มีให้เธอ
424,มันมากเกินไป
425,ยังไม่รู้พรุ่งนี้จะเป็นไง
426,แต่ที่รู้คือวันนี้จะบอกเธอไว้
427,ว่าคนนี้ฉันจอง
