Sentence,Category
แต่ฉันต้องฝืนและทนเอาไว้,neg
แค่ข้ามคืนที่มันโหดร้าย,neg
ฉันรู้ว่าเธอไม่รู้ว่าใครที่คู่ควร,neg
ก็เดาอะไร ไม่ได้ดังใจ,neg
บนหนทาง มีอะไรที่แน่นอน,neg
ที่เคยคบวันก่อน เลิกกันง่าย ๆ ก็มี,neg
ออกก้าวไป ตามที่ใจเราต้องการ,pos
เก็บไว้อย่างดี,pos
แพ้ให้เธอทุกที,neg
ต้านทานเธอแทบไม่ไหว,neg
คิดไปไกลสติสตางค์มันหายไปไหน,neg
หวงเธอแต่ทำอะไรไม่ได้,neg
ใกล้เธอคงดูไม่ดีเท่าไหร่,neg
ได้แค่มองเธออย่างนี้ก็ดีแค่ไหน,pos
ไม่ชอบเลย,neg
ไม่มีสิทธิ์พูดอะไร,neg
ตอนนี้ยังไม่มีสิทธิ์,neg
ถ้าจะหึงก็คงจะผิด,neg
แค่ไม่ค่อยชอบ,neg
มันมากเกินไป,neg
ไม่ค่อยชอบใจเท่าไรหรอก,neg
ทำได้ก็เพียงแค่มอง,neg
ไม่ชอบให้เธอใกล้ใคร,neg
ไม่ชอบให้ใครใกล้เธอ,neg
